「备用」,#genre#
🔄「左右键换源」,http://cloud.video.taobao.com/play/u/null/p/1/e/6/t/1/496863192271.mp4
CCTV-1,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1
CCTV-2 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2
CCTV-3,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv3
CCTV-4,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4
CCTV-5,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5
CCTV-5+,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5p
CCTV-6,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv6
CCTV-7,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv7
CCTV-8,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv8
CCTV-9,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv9
CCTV-10,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv10
CCTV-11,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv11
CCTV-12,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv12
CCTV-13,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv13
CCTV-14,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv14
CCTV-15,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv15
CCTV-16,http://112.18.54.52:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv17

广东卫视,http://112.18.54.52:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
浙江卫视,http://112.18.54.52:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
湖南卫视,http://112.18.54.52:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
北京卫视,http://112.18.54.52:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
湖北卫视,http://112.18.54.52:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
安徽卫视,http://112.18.54.52:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
重庆卫视,http://112.18.54.52:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东方卫视,http://112.18.54.52:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东南卫视,http://112.18.54.52:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
江苏卫视,http://112.18.54.52:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://112.18.54.52:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://112.18.54.52:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://112.18.54.52:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://112.18.54.52:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
深圳卫视,http://112.18.54.52:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://112.18.54.52:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
广东卫视,http://112.18.54.52:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://112.18.54.52:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://112.18.54.52:35455/itv/1000000005000265026.m3u8?cdn=ystenlive


央视,#genre#
🚀开启IPV6观看,http://cloud.video.taobao.com/play/u/null/p/1/e/6/t/1/496863192271.mp4
//北京移动↓
CCTV-1综合,http://[2409:8087:8:20::1c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-2财经,http://[2409:8087:8:20::1c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
