「备用」,#genre#
🔄「左右键换源」,http://cloud.video.taobao.com/play/u/null/p/1/e/6/t/1/496863192271.mp4
CCTV-1,http://cc2022.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=ace
CCTV-2,http://cc2022.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=ace
CCTV-3,http://cc2022.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=ace
CCTV-4,http://cc2022.ifengli.com:2000/live/cctv-4sd/1500.m3u8?innersid=ace
CCTV-5,http://cc2022.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=ace
CCTV-6,http://cc2022.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=ace
CCTV-7,http://cc2022.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=ace
CCTV-8,http://cc2022.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=ace
CCTV-9,http://cc2022.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=ace
CCTV-10,http://cc2022.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=ace
CCTV-11,http://cc2022.ifengli.com:2000/live/cctv-11sd/1500.m3u8?innersid=ace
CCTV-12,http://cc2022.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=ace
CCTV-13,http://cc2022.ifengli.com:2000/live/cctv-newssd/1500.m3u8?innersid=ace
CCTV-14,http://cc2022.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=ace
CCTV-15,http://cc2022.ifengli.com:2000/live/cctv-yysd/1500.m3u8?innersid=ace
CCTV-17,http://cc2022.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=ace
安徽卫视,http://cc2022.ifengli.com:2000/live/ahws-sd/1500.m3u8?innersid=ace
北京卫视,http://cc2022.ifengli.com:2000/live/bjws-hd/2500.m3u8?innersid=ace
东方卫视,http://cc2022.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=ace
东南卫视,http://cc2022.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=ace
广东卫视,http://cc2022.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=ace
广西卫视,http://cc2022.ifengli.com:2000/live/gxws-sd/1500.m3u8?innersid=ace
贵州卫视,http://cc2022.ifengli.com:2000/live/gzws-sd/1500.m3u8?innersid=ace
海南卫视,http://cc2022.ifengli.com:2000/live/lyws-sd/1500.m3u8?innersid=ace
河北卫视,http://cc2022.ifengli.com:2000/live/hebeiws-sd/1500.m3u8?innersid=ace
河南卫视,http://cc2022.ifengli.com:2000/live/hnws-sd/1500.m3u8?innersid=ace
黑龙江卫视,http://cc2022.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=ace
湖北卫视,http://cc2022.ifengli.com:2000/live/hbws-sd/1500.m3u8?innersid=ace
湖南卫视,http://cc2022.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=ace
吉林卫视,http://cc2022.ifengli.com:2000/live/jlws-hd/2500.m3u8?innersid=ace
江苏卫视,http://cc2022.ifengli.com:2000/live/jsws-hd/2500.m3u8?innersid=ace
江西卫视,http://cc2022.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=ace
辽宁卫视,http://cc2022.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=ace
内蒙古卫视,http://cc2022.ifengli.com:2000/live/nmws-sd/1500.m3u8?innersid=ace
宁夏卫视,http://cc2022.ifengli.com:2000/live/nxws-sd/1500.m3u8?innersid=ace
山东卫视,http://cc2022.ifengli.com:2000/live/sdws-hd/2500.m3u8?innersid=ace
山西卫视,http://cc2022.ifengli.com:2000/live/shanxiws-sd/1500.m3u8?innersid=ace
陕西卫视,http://cc2022.ifengli.com:2000/live/sxws-sd/1500.m3u8?innersid=ace
深圳卫视,http://cc2022.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=ace
四川卫视,http://cc2022.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=ace
天津卫视,http://cc2022.ifengli.com:2000/live/tjws-sd/1500.m3u8?innersid=ace
西藏卫视,http://cc2022.ifengli.com:2000/live/xzws-sd/1500.m3u8?innersid=ace
新疆卫视,http://cc2022.ifengli.com:2000/live/xjws-sd/1500.m3u8?innersid=ace
云南卫视,http://cc2022.ifengli.com:2000/live/ynws-hd/2500.m3u8?innersid=ace
浙江卫视,http://cc2022.ifengli.com:2000/live/zsws-hd/2500.m3u8?innersid=ace
重庆卫视,http://cc2022.ifengli.com:2000/live/cqws-sd/1500.m3u8?innersid=ace

CCTV-1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV-2,https://www.freetv.top/migu/631780532.m3u8?migutoken=11ecfe0a296dcd532df72244565e20008b5a2e6936c05e73d9c90abe54b5bbffc942f2912e3fdd518714c4a7ad984beed028d07db3d49b8d1e21c54686ebfa8546f79a57d969866753cca722cc
CCTV-3,https://www.freetv.top/migu/624878271.m3u8?migutoken=380a18fe8dc81109270780918e605114ca218bcfa395aaa8682b605d1622439ffe7981dbd10f378c9c045f872d48dce39babcb012c7362dc8b21835e88fde6457bacaa4082c74879d64ad7aee4
CCTV-3,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1
CCTV-4,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d
CCTV-4,https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1
CCTV-4,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174
CCTV-5,https://www.freetv.top/migu/641886683.m3u8?migutoken=3e5c01f93922de8d1c940fe15bb47349b27e8f7a2e624dde1a83dff3b2a80f58b7624151a3a4d00488edee34f202818557340903382fae02bb754084eb942bd50e59061df36fab62fb5b908903
CCTV-5,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1
CCTV-5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2
CCTV-6,https://www.freetv.top/migu/624878396.m3u8?migutoken=8e4f91b7950497f8570c74e50003b7fa23f6565c16a6b361ff855d3a969ddf7ea3826b04d20d76b6eeb472f0cb8b86284614a835429165709ec8c3055f8e9a7879e9594a4309b5d50f59f8a535
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=a878b713604abd82c57cce75de174e0284d3f101e21d0c3e362670e4b5a5e75d9b42846e5e0adf92c1ad15c63d60934f3e68c25f787bc0665d12acde75a6db4761278e79b762292ed5b5a2fae3
CCTV-8,https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080
CCTV-8,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
CCTV-9,https://www.freetv.top/migu/673168140.m3u8?migutoken=749c49cdc31bb395e0349adc81010adc8707f80e51e9d3491ad67bfa71388ad768f7b52c8064338a7ef45eb7ddb192fb4937b21681c82499a0c16653ad9a9bec98ff5ce6ab183e4029bbdf269e
CCTV-10,https://www.freetv.top/migu/624878405.m3u8?migutoken=07b6e1d4124dd85ca8138b8d8dcd646323952053748d7d5ac0a2b31dcb6626c605fb05470545bd0f7e0d23e807e6909b517b2b8b5e2eaa926600edaa15d80aee9b900245924108c86040411cd4
CCTV-11,https://www.freetv.top/migu/667987558.m3u8?migutoken=16827d54043eba69d051685229b1d0623c01f398f643b3a7d912c9929d6525025ef57eb61666d45bb70dfc86405aa336ca762f0bda4f0284d98eddae4042805df42661f954a1d40820829ec8c2
CCTV-12,https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081
